2019-01-09 09:27:40:732 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 5294 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 09:27:40:756 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 09:27:43:384 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 3.054 seconds (JVM running for 3.66)
2019-01-09 10:25:36:315 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 8908 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:25:36:318 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:25:39:538 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.529 seconds (JVM running for 6.518)
2019-01-09 10:26:58:074 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 8990 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:26:58:076 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:27:01:313 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.477 seconds (JVM running for 4.648)
2019-01-09 10:27:40:819 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9116 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:27:40:826 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:27:44:095 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.583 seconds (JVM running for 4.655)
2019-01-09 10:28:41:781 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9200 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:28:41:783 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:28:44:830 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.352 seconds (JVM running for 4.507)
2019-01-09 10:30:50:762 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9369 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:30:50:765 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:30:54:080 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.554 seconds (JVM running for 4.764)
2019-01-09 10:35:17:694 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9627 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:35:17:698 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:35:20:778 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.352 seconds (JVM running for 4.511)
2019-01-09 10:36:00:093 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9701 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:36:00:095 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:36:02:373 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 2.453 seconds (JVM running for 3.016)
2019-01-09 10:40:51:862 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9880 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:40:51:869 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:40:55:199 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.659 seconds (JVM running for 4.857)
2019-01-09 10:41:25:170 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 9954 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:41:25:172 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:41:27:431 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 2.428 seconds (JVM running for 3.03)
2019-01-09 10:42:31:051 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 10009 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:42:31:054 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:42:34:185 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.339 seconds (JVM running for 4.421)
2019-01-09 10:43:46:654 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Starting ProductDaoTest on chq-Vostro-3669 with PID 10095 (started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 10:43:46:659 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - No active profile set, falling back to default profiles: default
2019-01-09 10:43:49:834 [main] INFO  com.chq.ssmshop.dao.ProductDaoTest - Started ProductDaoTest in 3.462 seconds (JVM running for 4.71)
2019-01-09 11:07:07:443 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 11346 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 11:07:07:447 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
2019-01-09 11:07:10:066 [main] INFO  com.chq.ssmshop.SSMshopApplication - Started SSMshopApplication in 2.85 seconds (JVM running for 3.229)
2019-01-09 11:19:22:615 [main] INFO  com.chq.ssmshop.SSMshopApplication - Starting SSMshopApplication on chq-Vostro-3669 with PID 12013 (/home/chq/java_workspace_STS/SSMshop/target/classes started by chq in /home/chq/java_workspace_STS/SSMshop)
2019-01-09 11:19:22:619 [main] INFO  com.chq.ssmshop.SSMshopApplication - No active profile set, falling back to default profiles: default
